procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 548480  61164   2240 123640 3188    0 10756     0 2359 2496  1 65 29  6  0
 1  0 548480  62276   2240 125964   20    0  2324     0 1740 1221  0 58 41  1  0
 0  0 548480  69292   2248 125968    0    0     0    32 1401 1048  1 38 60  1  0
 1  0 548480  63388   2248 125968    0    0     0    24 1242  804  0 50 50  0  0
 1  0 548480  69276   2248 125976    0    0     0     0 1733 1065  1 42 57  0  0
 1  0 548480  64780   2248 125976    0    0     0     0 1361  952  0 40 60  0  0
 2  0 548480  64732   2248 125980    8    0     8     0 1523  996  0 39 61  0  0
 0  0 548480  67120   2256 125984    0    0     0    44 1693  908  0 36 64  0  0
 2  0 548480  37724   2424 140232   52    0 14524    24 2112 1551  1 48 44  8  0
 1  2 551816  19192   1800 144144    8 3400 74048  3404 2586 2266  1 81  9 10  0
 2  0 552848  18860   1692 144204    0  820 28156   820 2060 1736  3 82  5  9  0
 3  0 561840  14504   1196 144716   32 9460 21792  9464 2014 1565  5 85  5  5  0
 3  1 562104  14000   1440 138100  228  236 31784   280 2659 2349  2 81  5 13  0
 3  0 561592  53360   1436 139752 1732  288 12388   288 2306 2348  5 75  7 13  0
 4  0 560568  20380   1940 161900 2972    0 28336     4 3131 3437  1 80  1 18  0
 1  0 556728  30788   2140 157776 2596    0  6280   304 2159 2368  1 59 28 13  0
 2  0 556728  32900   2140 157844    0    0    64     0 1396 1272  0 54 46  1  0
14  0 556728  40000   2140 157848    0    0     0     0 1539 1335  1 61 39  0  0
 0  0 556728  42948   2148 157852    0    0     0    40 1713 1452  0 57 43  0  0
 0  0 556728  40056   2148 157856    0    0     0     0 1701 1240  1 35 64  0  0
 2  0 556728  43372   2148 157860    0    0     0    28 1587 1055  0 29 71  0  0
 3  0 556728  44724   2148 157928   36    0   100     0 1543 1007  0 35 65  1  0
 4  0 556728  40700   2148 157932    0    0     0     0 1475  969  0 45 55  0  0
 1  0 556728  28724   2108 165968  116    0  9628    40 1677 1375  1 59 36  4  0
 1  0 556728  31964   2108 165972   12    0    12     0 1717 1210  0 52 48  1  0
12  0 556472  33292   2108 165976  220    0   220    20 1327  942  1 44 54  2  0
 4  0 556472  21392   2092 164648    0    0     0     8 1418 1012  0 53 47  0  0
 2  0 555448  14776   2092 165088 3544  172  5115   172 2653 3654  0 61 30  9  0
 1  0 555448  18472   2100 164964    4    0     4    36 1315 1089  1 55 44  1  0
 2  0 555448  17800   2100 164968    0    0     0     0 1205 1013  0 49 51  0  0
