procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0 514800  10332   3632 141692 2951 4944 23020  5684 2071 3673  8 58 25 10  0
 3  0 508144  12284   3460 137164 8564 1532 11108  1532 2559 2417  2 30 54 13  0
 0  0 509168  21536   2772 133596   76 1036   388  1036 1925 1221  1 29 69  1  0
 0  0 509424  23912   2772 132260   60  356   256   356 1159  818  0 17 83  0  0
 1  0 510192  30564   2796 129132    0  784    16   852 1450  959  0 22 76  1  0
 0  0 510704  32328   2800 127752   20  332    24   332 1205  747  0 14 86  0  0
 0  0 510704  31720   2800 127520    0   36     0    44  835  535  0 14 86  0  0
 1  0 510704  31372   2792 127092    0   76     0    76  564  403  0  3 97  0  0
 0  0 511216  36024   2396 124316    0  596     0   652 1229  823  1 17 82  0  0
 1  0 511472  35476   2396 124296   80  328   596   364  788  596  0  7 91  2  0
 1  0 511728  38096   2396 123928    4  452   124   452  774  504  1  7 93  0  0
 0  0 512240  37992   2396 123576    0  444     0   444 1216  859  0 14 86  0  0
 0  0 512752  39784   2396 122900    0  584     0   584  998  706  0 13 87  0  0
 1  0 509680  36120   2360 127560  700  608  5311   608 1449 1580  1 22 74  3  0
 0  0 508912  37820   2336 126828  420  324   528   392 1185  983  0 14 84  2  0
 0  0 509424  40020   2296 124916    0  544     0   544 1376  842  0 19 81  0  0
 1  0 510448  42724   2256 121572    0 1068     0  1068 1397  916  1 16 83  0  0
 1  0 510960  47960   2232 119284    0  648     0   648 1240  803  0 16 84  0  0
 0  0 511728  51676   2228 117416    4  544     4   544 1306  900  0 19 81  1  0
 0  0 511984  52796   2236 115904    0  468     0   512  918  673  0 11 89  0  0
 0  0 512496  53724   2208 115072    0  288     0   292 1000  679  1  8 92  0  0
 1  0 513008  54952   2208 114196    0  684     0   684 1153  719  0 15 85  0  0
 0  0 514032  55904   2204 113084    0  888     0   888 1039  761  0 12 88  0  0
 0  0 514288  61596   2204 112388    0  344     0   344 1166  882  0 17 83  0  0
 2  0 514544  59188   2208 112100   24  184    52   224 1041  804  0 13 86  1  0
 1  0 514288  59388   2204 115060  456  184  3612   184 1192  871  0 10 87  3  0
 0  0 514032  59404   2360 115484  316   16   828   108  815  707  0  8 89  3  0
 0  0 514544  60396   2492 115076  136  468   288   468  865  691  0 10 89  1  0
 0  0 516080  62940   2448 114084   20 1364    20  1364 1364  929  0 21 79  1  0
 0  0 515824  64296   2424 113588  716  620   716   652 1152 1088  0 12 84  4  0
 0  0 515824  63824   2420 113580    0  124   100   124  652  491  0  8 91  1  0
 0  0 516848  65732   2400 112984    0  968     0  1052 1096  700  0 15 85  0  0
 0  0 516848  65060   2392 112836    8  240     8   244  639  510  0  7 92  1  0
 1  0 517616  66648   2360 112220   36  596    36   596  989  667  0 11 89  0  0
 0  0 518640  71444   2332 111180    0 1160     0  1172 1111  807  1 14 86  0  0
 0  0 519920  72172   2332 111820   36 1100  1420  1100 1109  714  0 13 86  1  0
 0  0 520688  72868   2280 111288    4  760     4   760  573  417  0  5 95  1  0
 0  0 521200  73248   2264 111320    4  556   322   628  940  653  0 12 87  1  0
 4  0 521712  76044   2092 109788    0  724     0   728 1166  805  0 18 82  0  0
 0  0 522224  77104   2092 109448    4  380     4   392 1274  830  0 19 80  1  0
 0  0 522736  78040   2092 109148    4  432     4   440 1021  675  0 13 87  0  0
 1  0 523504  80208   2032 108428    4  776     4   784  781  578  0  8 91  1  0
 0  0 523760  80292   2020 108268    0  272     4   300  843  560  0  9 91  0  0
 0  0 524784  82176   1992 107680    4 1068     4  1068 1096  734  1 16 83  0  0
 0  0 525040  82780   1992 107588    0  208     0   208  722  491  0  7 93  0  0
 1  0 524528  77296   1992 110992 2232  624  6060   624 1801 1669  0 20 73  6  0
 0  0 525296  79084   1992 110380   12  528    12   544  781  582  0 11 88  1  0
 0  0 525296  79184   2000 110324    0   64     0    96  618  436  0  6 94  0  0
 0  0 525296  79676   2000 110276    0   44     0    44  632  429  0  6 94  0  0
 0  0 525552  80268   1956 109652    0  404     0   404 1155  800  0 17 83  0  0
 0  0 525808  78072   1908 112960  268  540  3101   540 1307 1087  0 16 82  3  0
 0  0 526832  80524   1892 111708    0  776     0   788 1159  774  0 17 83  0  0
 0  0 527088  80316   1900 111416    0  156     0   200  421  323  0  2 98  1  0
 0  0 527088  81836   1900 110916    0  224    64   232  886  561  0 11 89  1  0
 0  0 527344  81836   1892 110124    4  364     4   364  838  551  0 10 90  0  0
 0  0 527856  80976   1884 111980  248  504  2257   504 1098  942  0 14 84  3  0
 0  0 528368  82584   1876 111272    0  284     0   296  744  471  0  7 93  0  0
 1  0 528880  85020   1868 109984    0  552     0   588  932  595  1  9 90  1  0
 0  0 529136  85240   1868 109416    0  364     0   364  892  635  0 12 88  0  0
