procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 503532  14600   2460 145316    0    0     0     0  946  562  0 11 89  0  0
 0  0 503532  12752   2460 145316    0    0     0     0  753  452  0  5 95  0  0
 0  0 503532  14364   2468 145316    0    0     0    36  706  478  0  8 92  0  0
 0  0 503532  14820   2468 145320    0    0     0     4  598  440  0  5 95  0  0
 0  0 503532  13528   2468 145320    4    0     4     0  850  540  0  6 94  0  0
 1  0 503532  13512   2468 145320    0    0     0     0  420  373  0  2 98  0  0
 0  0 503532  13040   2468 145324    0    0     0     0  857  541  0  9 91  0  0
 0  0 503532  13064   2476 145324   28    0    28    28  698  502  1  6 93  1  0
 0  0 503532  13668   2476 145324    0    0     0    16  751  488  0 10 90  0  0
 1  0 503532  14112   2476 145324    0    0     0     0  520  422  0  4 96  0  0
 1  0 503532  12592   2476 145328    0    0     0     0  768  494  0 12 88  0  0
 2  0 503532  15132   2476 145328    0    0     0     0  541  415  0  5 95  0  0
 4  0 503532  14020   2484 145328    0    0     0    28  891  551  0  8 92  0  0
 0  0 503532  13412   2484 145332    0    0     0     8  516  403  0  4 96  0  0
 0  0 503532  14240   2484 145332    0    0     0     4  522  423  0  5 95  0  0
 0  0 503532  13800   2484 145332    0    0     0     0  521  375  0  4 96  0  0
 0  0 503532  14624   2484 145332    0    0     0     0  803  541  0  9 91  0  0
 1  0 503532  13904   2492 145336    0    0     0    28  665  470  0  5 94  1  0
 0  0 503532  13932   2492 145336    0    0     0    12  812  569  0 10 90  0  0
 0  0 503532  13484   2492 145336    0    0     0     0  387  342  0  2 98  0  0
 0  0 503532  13676   2492 145340    0    0     0     4  600  435  0  7 93  0  0
 2  0 503532  13944   2492 145344    0    0     0     0  405  388  0  1 99  0  0
 0  0 503532  13148   2500 145312    0    0     0    48 1057  658  1 14 86  0  0
 0  0 503532  14104   2500 145312    0    0     0     0  661  461  0  5 95  0  0
 0  0 503532  13384   2500 145316    0    0     0     8  708  543  0  8 92  0  0
 2  0 503532  12428   2500 145316    0    0     0     0  591  417  0  3 97  0  0
 0  0 503532  13564   2500 145316    0    0     0     8  757  520  0  9 91  0  0
 2  0 503532  12736   2508 145316    0    0     0    32  568  465  0  9 91  1  0
 0  0 503532  13460   2508 145320    0    0     0     0  805  555  0 11 89  0  0
 0  0 503532  13784   2508 145320    0    0     0    12  394  367  0  1 99  0  0
 0  0 503532  14992   2508 144688    0   28     0    28  919  589  0 10 90  0  0
 0  0 503532  14608   2508 144692    0    0     0     0  415  339  0  1 99  0  0
 0  0 503532  14216   2516 144692    4    0     4    32  681  496  0 12 87  1  0
 2  0 503532  14512   2516 144692    0    0     0     0  715  534  0  8 92  0  0
