procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9  0 651528  11956   2796 112980 3184 6625 27304  7244 2348 4443  8 65 15 12  0
 6  3 660744   7056   3436 125776 5628 11972 45081 11984 5069 5926  1 92  0  7  0
 5  1 670216  11344   3972 124944 8956 12900 29449 12968 5845 7116  1 90  1  9  0
 7  0 669960   8688   3032 131576 20632 13984 51010 14188 5950 7936 13 79  0  9  0
 1  3 679432  10724   1888 129084 16864 13572 36656 13572 5775 6625  7 81  1 11  0
 4  0 690952  13124   2164 130400 7832 13268 30294 13276 5055 5750  4 82  1 12  0
 4  0 667400  28080   4004 136644 16672 5744 35074  5756 5419 5849  4 80  3 14  0
 4  0 586248  25296   4000 137736 25804  188 27947   188 6019 7252  0 64  4 32  0
 5  0 564744  11488   5252 136616 25340  968 38088  1180 6191 6541  1 79  1 20  0
 4  1 555784  13684   4664 135864 14444 3096 37040  3096 5385 5778  1 87  0 13  0
 3  2 553480  13404   4656 133628 12152 5544 33734  5612 5300 6294  1 81  6 12  0
 4  1 552200   7860   3640 126868 9404 4960 81310  5052 5036 5367  8 77  4 11  0
 1  2 557064   8340   1784 112284 13600 6784 51284  6868 4890 6228 14 56  5 25  0
 1  1 563720  11976   1184 103556 6840 8260 109436  8260 4994 4758  5 72 11 12  0
 1  0 570120  13596   1684 100620 5976 12204 55884 47664 4873 5205  6 79  3 12  0
 3  0 576520  48720   3428 110676 3420 8692 43178 73468 3145 3700  8 51 22 19  0
 1  1 579848  23304   4824 135676 2480 4916 66076  5056 3347 3785  5 46 32 17  0
 3  0 582152  17696   5684 141360  284 2604 25060  2604 4383 4573  1 42 25 32  0
 3  0 583688  13376   5836 149008  192 1556 30180  1664 3708 3608  5 47 23 24  0
 4  1 582664  26684   7044 132876 3344 2228 40063  2472 4012 4405 12 44 22 22  0
 2  0 581384   7412   5248 150716 3100  396 36536   396 3171 5971  4 37 36 23  0
 2  1 579080  16744   5940 135040 5656  752 25337   896 4423 6929  2 54 20 23  0
 0  0 578312  16656   6864 133320 1944  804  8871   804 1300 1694  1 14 74 12  0
 0  0 578312  14372   6864 134344    4    0  1028     0  370  340  0  2 97  1  0
 2  0 574924  13536   6872 134396  596    0   668    80  598  808  1  4 92  3  0
 0  1 572168  13832   6872 135136  756    0  1472     0  861  930  0  6 91  3  0
 0  0 572168  13024   6872 135132  120    0   120     4  739  478  0  4 96  1  0
 0  0 572168  12760   6872 135136    4    0     4     4  735  454  1  6 94  0  0
 0  0 572168  13104   6872 135136    4    0     4     0  444  355  0  3 97  0  0
 0  0 572168  12608   6872 135136    4    0     4    64  348  340  0  1 99  0  0
 1  0 572168  12180   6880 135136    4    0     4    16  539  367  1  4 95  1  0
 1  0 572168  12920   6880 135136   64    0    64     0  535  438  0  4 95  1  0
 1  0 572168  10648   6880 136884    8    0  1756     8  423  395  1  2 97  1  0
 1  1 571912   9488   6880 137960  120    0  1300     4  395  384  0  1 97  2  0
 0  0 571912   9816   6880 138132    0    0    63     0  450  355  1  2 97  1  0
 0  0 572424  10740   6876 136768   88  520   493   548  613  479  0  6 93  1  0
 0  0 572424  10812   6876 136784    0    0     0     0  254  284  0  1 99  0  0
 0  0 572424  10944   6876 136784    0    0     0     8  325  343  0  1 99  0  0
 0  0 572424  10768   6876 136784   20    0    20     0  599  436  0  2 97  1  0
 0  0 572424  10420   6876 136800    8    0     8     4  498  400  0  2 98  0  0
 1  0 572424   9916   6876 136800    4    0     4     0  425  369  0  3 97  1  0
 0  0 572424  11152   6884 136804    4    0     4    28  614  436  0  3 97  0  0
 0  0 572424  10264   6884 136804    0    0     0     8  241  235  0  1 99  0  0
 1  0 572424  10060   6884 137456   12    0   664     0  410  407  0  2 97  1  0
 1  1 571912   6624   7008 139984  720    0  4752     0  795  904  1  4 91  5  0
 0  0 572168   8812   7300 137352  308  376  1060   492  662  635  0  6 92  2  0
 0  0 572680  14000   7076 134756    8  596     8   596  453  389  0  5 95  0  0
 0  0 572680  12236   7220 135060  204    0   652     0  678  615  0  4 94  2  0
 0  0 572680  13196   7220 135060    0    0     0     4  260  234  0  1 99  0  0
 1  0 572680  10360   7220 135160    8    0   104     0  443  381  1  4 95  1  0
 0  0 572680  12952   7228 135164    4    0     4    80  690  446  0  3 97  0  0
 0  0 572680  11988   7228 135164    4    0     4     8  508  353  0  5 95  1  0
 1  0 572680  12040   7228 135164    0    0     0     0  292  263  0  1 99  0  0
 2  0 571144   7392   6952 140400 1688   48 10540    56 1424 1262  0 11 82  7  0
 0  0 566536   9580   6156 135960 6804 1712 13224  1712 1892 2228  1 14 74 11  0
 0  0 567560  13564   6316 131540   40  992  1032   992 1087 1056  1  7 92  1  0
 0  0 567304  13456   6324 131844   12    0   268    40  585  698  0  1 98  1  0
 1  0 567304  14592   6324 131844    4    0     4     4  435  299  0  1 99  0  0
 0  0 567304  13384   6324 131844    0    0     0     8  422  265  0  1 99  0  0
