procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  1 498264  22908   4344 130384 2408 4323 19906  4988 1741 2940  5 46 39 10  0
 0  0 498008  24040   4664 128560 1400  544  8000   544 2083 1868  1 32 61  6  0
 4  0 498008  17832   4780 129308  448  180  2244   180 1301 1082  1 17 81  1  0
 0  0 498016  21356   4752 127924   60  376    64   376 1225  902  1 15 83  2  0
 0  0 498528  26944   4996 124696   72  484   372   528 1192  797  1 20 77  2  0
 0  0 498528  23900   5000 125032   48    0   380    20  875 1880  0 11 88  1  0
 1  0 498528  26576   5000 125036    0    0     0     8 1179  615  1 12 88  0  0
 0  0 498528  25376   5572 125496    4    0  1108     0 1028  603  0 13 86  1  0
 1  0 498528  23844   5572 125572    0    0     0     0 1112  658  0 20 80  0  0
 0  0 498528  25040   5580 125576    0    0     0    88  796  453  1  7 92  1  0
 0  0 498784  25028   5572 125320   12  124    12   140 1349  781  0 27 72  1  0
 0  0 498784  24932   5572 125836   24    0   536     0  748  449  0  4 95  1  0
 1  0 498784  21504   5572 125836    4    0     4     4 1170  633  0 14 86  0  0
 0  0 498784  25264   5572 125840    0    0     0     0 1251  616  0 19 81  0  0
 0  0 498528  22380   5580 125844  584    0   584    28 1085  846  1 16 82  2  0
 0  0 498528  23804   5580 125848    0    0     0    16 1080  523  1 10 90  0  0
 1  0 498528  22232   5584 126260   96    0   492     0 1129  681  0 11 87  1  0
 0  0 498016  18384   5584 128612  104    0  2472     0 1191  749  0 14 84  2  0
 0  0 498016  19952   5740 128688   44    0   216   112 1285  714  0 21 78  1  0
 0  0 498016  19732   5760 128688  124    0   144    32  771  576  0 11 88  1  0
 0  0 498016  20716   5760 128688    0    0     0    16  995  580  0  8 92  0  0
 1  0 498016  18572   5760 128692   12    0    12     0 1102  594  0 13 87  0  0
 1  0 498016  19984   5760 128696    0    0     0     0 1156  681  1 12 87  0  0
 1  0 498016  18428   5768 129252   64    0   620    84 1549  868  0 19 79  1  0
 0  0 498016  19032   5768 129256    4    0     4     4 1009  565  1 13 87  0  0
 1  0 498016  19372   5768 129260    4    0     4    20  826  482  0  8 92  1  0
 1  0 498016  14740   5768 129260    8    0     8     0 1210  657  0 16 84  0  0
 1  0 498016  18720   5768 129264    4    0     4     0  692  370  0  5 94  1  0
 0  0 498016  18500   5776 130028    8    0   510    48  667  477  0  7 92  1  0
 1  0 498016  16512   5776 130032    0    0     0     0 1010  544  0 12 88  0  0
 0  0 498016  15856   5776 131540  144    0  1648    20  985  645  0 10 88  2  0
 0  0 498016  15668   5776 131540    0    0     0     0  680  407  0  7 93  0  0
 6  0 498016   7472   6068 130836    8  200   416   200 1190  686  0 18 81  1  0
 1  0 498528  21124   5660 127856  352  588   352   592 1411  945  0 23 75  2  0
 1  0 498528  20360   5668 127860    4    0     4    28 1069  619  1 15 84  1  0
 1  0 498528  21188   5668 127860    0    0     0     0 1277  671  0 16 84  0  0
 1  0 498528  20672   5668 127864    0    0     0    20  724  389  0  7 93  0  0
